name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Improved Usage Tracker | Free User Adoption Dashboard | Usage & Engagement Analytics,Real-time insights & analytics into how your users engage with Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000IyvZgUAJ,6,9,3,1.5
Smart Lists,"Highly customizable lists for handling records, files and external data",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HEZW9UAP,19,29,10,1.5
"Exalate Connector for Jira, ServiceNow, Azure DevOps, Github, Zendesk & Salesforce Integrations","Integrate Salesforce with Jira, ServiceNow, Zendesk, Github & Azure DevOps",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GwHhcUAF,7,10,3,1.4
GetAccept - The Digital Sales Room Solution Provider for Salesforce,Shorten your sales cycle and increase your win rate,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000E1Z2sUAF,16,22,6,1.4
Global Business Credit Reports- Automate your credit decision and manage risk,"Automate business credit reports from Experian, Equifax, PayNet & DataMerch",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FeFulUAF,36,52,16,1.4
Bulk Field Creator - MetaHelper,Create fields just in seconds,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HuUF9UAN,8,11,3,1.4
Valence Native Data Integration,Integration Orchestration Native in Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EORP4UAP,7,10,3,1.4
Lead Capture in Sales Cloud,Collect leads from Facebook and Google directly into Sales Cloud,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HA0mqUAD,19,26,7,1.4
Check(In) Mate,Track your field reps' customer visits using GPS Check-In like never before,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FNBeaUAH,7,10,3,1.4
"Documill Dynamo – Document Automation: Generate, Review, Track, and E-sign","Automate & standardize quotes, contracts, proposals and more!",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000009whyxEAA,61,85,24,1.4
"EventSpark - Salesforce Native Event Management, Event Registration & RSVPs","Event Management, RSVP, Registration & Check-in - virtual & physical events",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMYfyUAH,22,30,8,1.4
CMS Content Type Manager,Manage custom CMS content types tailored to your needs in a breeze!,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G5spmUAB,17,22,5,1.3
Qualityze - Enterprise Quality Management Solution (EQMS),Transform your QMS into a quality decision making engine.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000DY0fKEAT,43,56,13,1.3
Knowledge Dashboard Pack for CRM Analytics,Report on KPIs for Lightning Knowledge,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000IEUCaUAP,7,9,2,1.3
Project Management Tool - PMT,Free end-to-end project management solution built by Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000Ddt95UAB,24,30,6,1.3
Plus - Salesforce Metadata Dictionary,Metadata Dictionary,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FpUSdUAN,8,10,2,1.3
Elevate Experiences in the Cloud,All-in-One Experience Cloud Alternative,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000Gl4LhUAJ,6,8,2,1.3
PowerBI dashboard in Salesforce,PowerBI/Power BI in Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HIkLNUA1,12,16,4,1.3
"Enrollment Rx - Recruitment, Admissions, and Decisions on Salesforce",Recruitment & Admissions for Higher Education - Applicant Tracking System,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000001tAp6EAE,9,12,3,1.3
"Credit Checker - Instant Credit Reports from Experian™, TransUnion®, Equifax®",Easily pull credit reports from any standard or custom Salesforce object,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EcrETUAZ,55,73,18,1.3
"Asymbl ATS | Staffing, Recruiting & HR Applicant Tracking System",Optimize the Recruiter Workflow with Salesforce + Asymbl,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000IM2fdUAD,9,12,3,1.3
Files Downloader | Download Mass files from Salesforce | files download at once,Download Mass Files from Salesforce in ONE GO!,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HEWTBUA5,20,26,6,1.3
Video Gallery,"Show dynamic video content from YouTube, Vimeo, Wistia, Vidyard ⚡️",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000ErHZ4UAN,6,8,2,1.3
Timeline,View related records in a whole new way,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G0yN3UAJ,49,62,13,1.3
Salesforce CPQ Advanced Approvals Slack App,Accelerate approvals to realize revenue sooner,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000He5z6UAB,12,14,2,1.2
Data Action Platform: complex mass actions made easy,Manipulate data natively in Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000DYSaZUAX,17,20,3,1.2
"Docs Made Easy - Document Generation & invoices, PDF, Docx, HTML Creation APP","Salesforce Document Generation: Quotes, Proposal, Contract, Invoices & more",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GbAJDUA3,104,122,18,1.2
eShopSync for Prestashop,Best Prestashop Integration With Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EXmiXUAT,9,11,2,1.2
"PWR Rollups - Forget limitation for Rollup Summaries, One Solution for all business requirements",Rollup magic in few clicks without code,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000GA8o0UAD,6,7,1,1.2
Communicat-O - SMS | WhatsApp | Facebook Messenger - Multichannel Messaging Tool,"Native integration with SMS, WhatsApp, Telegram, Wechat, Instagram, & more",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FYgXQUA1,13,16,3,1.2
Maple LMS - Learning Management System - a modern Salesforce LMS,Salesforce LMS - Learning Management System / LMS to engage your Learners,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000DoJjUUAV,33,41,8,1.2
CTI Data Connector for Salesforce - any PBX |  MS-Teams | HVS | BYOT,Cloud PBX  |  CTI | Call Center | Dialer | Teams | Telephony | Omni-Channel,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000004g5sgEAA,111,132,21,1.2
"Highlighter: Dynamically highlight, rename, hide fields, conditional formatting",Now you can disable fields and buttons on your page layouts,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000000q4OxEAI,16,19,3,1.2
"Simpplr Employee Experience Platform: Connect, align, and engage your workforce",The leading comprehensive modern intranet for Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000000ptpmEAA,23,27,4,1.2
"Orca - Customer Marketing, Reference Management Programs, and Advocacy","Reference Management Programs, Customer Marketing, and Advocacy",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FtUkmUAF,10,12,2,1.2
Download Manager,Pushing Limits. Costs less. And never breaks.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMkRsUAL,12,14,2,1.2
Precursive PSA: Resource Management & Project Management App,PLAN. TRACK. FORECAST. Precursive PSA,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B40RQEAZ,50,58,8,1.2
G-Connector (formerly Enabler4Sheets),"Import, export and automatically refresh Salesforce data in Sheets",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B5f7vEAB,22,26,4,1.2
"BiznusSoft HR - Time & Attendance, Workforce, Recruitment, Performance & Payroll",Manage your Business — Not your Software,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4DzyEAF,17,20,3,1.2
Delpha | Deduplication - Eliminate all duplicates and improve data quality,"Auto merge duplicate Accounts, Contacts, Leads and Cases",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMpuXUAT,6,7,1,1.2
"Q!365 | Integrate Microsoft 365, Teams & SharePoint","Salesforce Integration for Microsoft Teams, SharePoint  and Office 365",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000E2LKdUAN,15,18,3,1.2
Point and Click Salesforce Document Generation,Doc Gen Just Got Limitless,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000Gl4KoUAJ,13,15,2,1.2
List View Exporter,Export your list view with the click of a button,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GdGngUAF,11,13,2,1.2
"CloudFiles | Document Management for SharePoint, Google Drive, Microsoft Teams, AWS S3, OneDrive.","File Management for SharePoint, Google Drive, Microsoft Teams, S3, OneDrive",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000Gh9uFUAR,52,62,10,1.2
Case Timer for Service Console,Track time spent working on cases automatically,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000I0w7xUAB,13,16,3,1.2
Advanced live currency converter,It is used to update the conversion rate of the currency,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G0jWKUAZ,6,7,1,1.2
Enhanced Approval Requests Pro - Mass submit and process approval requests,Accurate and efficient approval management for submitters and approvers!,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FqQreUAF,26,30,4,1.2
"Account Mapping, Partner Ecosystem Platform, Channels, Alliances, Partner Sales",PartnerTap Ecosystem and Co-selling Platform,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EOHKrUAP,106,125,19,1.2
Dynamic Form,"Dynamic form, Experience Cloud, Customer Portal, Data Capture",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HGwwuUAD,6,7,1,1.2
Coefficient: Salesforce Integration for Google Sheets,Sync Google Sheets to Salesforce & accelerate your productivity in minutes,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GYgWXUA1,46,55,9,1.2
"Own Archive - Archive Data, Accelerate Performance, Reduce Storage Costs",Enterprise-Grade Data Governance for Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FKAMBUA5,24,28,4,1.2
"Dedupely: Find and merge duplicate contacts, accounts & leads","Easily find and merge duplicate contacts, accounts and leads in Salesforce.",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMkkDUAT,6,7,1,1.2
EU VAT Check,Check European VAT Numbers on any field.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G7gfxUAB,9,11,2,1.2
sFiles | Connect to SharePoint Online! (Integrate with Microsoft 365 and Teams),Link SharePoint Online folders and manage files directly from Salesforce!,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FR4atUAD,18,22,4,1.2
FieldAx - Field Service Management(FSM) Software for SMEs,Unleash Your Field Service Potential with FieldAx,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000ErDrOUAV,25,29,4,1.2
Inxmail - Email Marketing for Salesforce l Mass Email l Marketing Automation,NEW: Inxmail – the integrated solution to create eye-catching mailings,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000003JAjZEAW,17,20,3,1.2
Weaver - 100% Native Bespoke Template Designer & Document Generator,FREE 30 day trial with zero commitment,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FOm8pUAD,6,7,1,1.2
Asperato. Payments solved.,Transform payment processing into a competitive advantage.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EcrOnUAJ,30,36,6,1.2
Formstack Documents (formerly WebMerge) - Document Generation,Automate your document generation process from start to finish.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B53bmEAB,142,165,23,1.2
ISVapp App Analytics,App Analytics for ISV & OEM partners,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMdE6UAL,22,26,4,1.2
Salesforce Case Deflection Reporting Package  for Lightning Communities,Case Deflection Dashboard for Salesforce Lightning Communities,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EtDxwUAF,11,13,2,1.2
Bulk Objects And Fields Permissions Manager,"OLS, FLS, Security, Field Level, Object Level, Permissions, Manager, Bulk",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FtWcBUAV,6,7,1,1.2
Account Planning by GSP,Executable Account Planning in Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FvIb4UAF,6,7,1,1.2
"Survey Vista : 100% Native Salesforce Surveys, Forms, Quizzes, and Checklists",Seamless Data Collection. Better Insights.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FYkISUA1,97,120,23,1.2
LeanData Matching & Routing,"Lead routing without lead leaks. Build better, go faster.",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4QdeEAF,202,236,34,1.2
Schedul-o-matic 9000,Not your mother's Salesforce scheduler,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FZ981UAD,11,13,2,1.2
List Editor,Update Records in Bulk on the List !!,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000Fz2VxUAJ,13,15,2,1.2
MoveData | Automatically Import Data from Popular Nonprofit Platforms,MoveData specialises in real time Salesforce integration for Nonprofit Orgs,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GmPK3UAN,30,36,6,1.2
Round Robin Assigner,Assign any object,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FOmqSUAT,25,29,4,1.2
Big Objects Related List,A single related list that allows you to display records from a Big Object,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GFjibUAD,6,7,1,1.2
MAFAILI - Easy Google Drive Files in Salesforce,"MAFAILI, your FREE Google Drive connector for Salesforce",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000He5YbUAJ,13,16,3,1.2
"Data Generator  |  Mock data, your way, in seconds",Instantly create thousands of mock records for any object or field.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000GBhE8UAL,16,17,1,1.1
Flow Email Logger,See all your flow error inside salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GsDHBUA3,8,9,1,1.1
"Salto.io | More than a DevOps platform - analyze, compare, and deploy changes",Everything you need for error-free Salesforce deployments,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000Grmj0UAB,12,13,1,1.1
Lightning Following Report,Lightning App to track all the chatter records you follow in one place.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GcIxjUAF,15,16,1,1.1
360 CTI for Salesforce Phone Calling: Sales Call Center & Telephony Integration,Build Deep Relationships with Salesforce CTI for Growth Hungry Sales Teams,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HEVm1UAH,21,23,2,1.1
"200 OK:Experience Seamless Native Salesforce Integrations with Powerful ETL & Data Virtualisation. Connect with ERP, SAP, MS Dynamics, Slack, Team, Twillio, WhatsApp, Facebook, LinkedIn, Stripe, Quickbooks, Paypal, Workday, ServiceNow, S3, Sharepoint, AWS",Securely Integrate to Any External System in Salesforce Way with Native ETL,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FN8QEUA1,10,11,1,1.1
"Product Selector to Opportunities, Quotes and Orders","Search, Filter, Add, Edit on One Screen Product Line Editor",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000Dpa60EAB,10,11,1,1.1
MEDDIC Opportunity Management,The Official and First MEDDIC app on Salesforce.com,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000Dpa1UEAR,34,36,2,1.1
Mitel® MiVoice Integration for Salesforce R2,"Click-to-call, screen-pop and call notes for MiVoice Business & MiCC users",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4hfaEAB,12,13,1,1.1
FinDock - Payments on Salesforce,The last payment solution you’ll ever need for Salesforce.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000E1l6iUAB,27,30,3,1.1
Proton Text with Proton Blaster for Bulk SMS to Campaigns or any List View,"Boost Productivity and CSAT with 1-to-1 Messages, Automated & Bulk SMS",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EcsYBUAZ,17,18,1,1.1
Field Service Dashboards,"Track trends, gain insights, isolate problems",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EJZOvUAP,7,8,1,1.1
FOLDERIZE™ - Folder Structure for Salesforce Files and Attachments – Native App,Document File System Native App for Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4caiEAB,29,31,2,1.1
Algoworks Task Manager for Salesforce,"Tasks are like Signal Lights. Green - go, Yellow - alert, Red - Action.",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EONgMUAX,13,14,1,1.1
Salesforce Mobile Apps Administration,Configure the Salesforce Mobile Apps for iOS and Android as connected apps,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4cUuEAJ,17,18,1,1.1
Security Zen,Security Zen,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EcqksUAB,15,16,1,1.1
Satrang Mass File Download,Download Multiple Files on a single click,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EcsAOUAZ,76,80,4,1.1
Blackthorn Events - In-Person and Online Event Management & Registration,"Salesforce-Native Event Registration, Event Management, & Reporting",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EX3qVUAT,225,239,14,1.1
"CloudComp: Sales Commissions, Incentive Compensation, Quota Management, SPM","Commission Anything - Custom Quotas, Rules, Accelerators - Any Object",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4Y7aEAF,11,12,1,1.1
"Google Drive, File Management, Document Generation, Files Connect, Drive Connect, Google Docs, Google Sheets, Google Slides, Gmail, Conga, Docusign, Nintex, S-Docs",Google Drive & Salesforce workflow automation in minutes,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMlVWUA1,52,56,4,1.1
In-App Guidance: Boost Sales User Productivity in Lightning Experience,Install prompts to increase user adoption of five key Salesforce features.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMl0mUAD,11,12,1,1.1
"ValueText | Multi-Channel Messaging App for Salesforce | SMS, WhatsApp, Telegram",Better Customer Communication with SMS and WhatsApp Messaging in Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EFoedUAD,57,64,7,1.1
Secure File Transport Powered by Botdoc,Securely Send and Receive Sensitive Data and Files Inside Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G0ypbUAB,12,13,1,1.1
Tuvis for WhatsApp™ and iMessage with Salesforce CRM,Enterprise instant messaging. Secure. Efficient. Compliant.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G0y1gUAB,81,86,5,1.1
Excel.IO,"Excel Exporter, Excel Importer, Data Exporter",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GXD6aUAH,7,8,1,1.1
Flosum Backup & Recovery Solution,Back up and recover your Salesforce data,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FYEFAUA5,18,19,1,1.1
ZDM for Salesforce,Match accounts & contacts to their legislative district in Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000E7WJAEA3,8,9,1,1.1
Centro: Achieve Full Control Between Slack and Salesforce,Enable your Team to Learn and React in Salesforce and Slack,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMtn4UAD,35,39,4,1.1
Maven Documents | Automated Document Generation App | Generate Documents Easy,"Document Generation for Salesforce | High-Performance, Flexible and Dynamic",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000DVRWtUAP,18,19,1,1.1
Map My Records,Super simple and customisable map for any Standard or Custom objects,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G8F30UAF,13,14,1,1.1
"GoMeddo delivers an unlimited scheduling and booking experience in Salesforce. We making planning, reservations, bookings, appointments easy for any scheduler in directly in Salesforce.","Appointment scheduling, manage reservations & bookings, formerly Booker25",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000009xLwiEAE,45,48,3,1.1
AdvoLogix Legal Suite,AdvoLogix Matter Management,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000008ZWElEAO,53,57,4,1.1
"Salesforce,CPQ,PDF,Quotes,Invoice,Contract,Documents,DocuSign,E-Signature,Email","Customized & Branded PDFs, E-Signature, Automation, Multilingual, E-mail",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4AsxEAF,60,64,4,1.1
Simple Signature - Electronic Signatures & Document Generation for Salesforce,"eSignature, eSign, document generation, digital signature for Salesforce1",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000DqCoUUAV,22,24,2,1.1
Photo Uploader,"Add Photos to Contacts, Leads, Accounts and Custom Objects!",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000001TKzOEAW,28,31,3,1.1
Fusion Framework® System,Risk and Resilience Software,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000003IEp0EAG,40,44,4,1.1
"MassMailer - Native App, Email Marketing, Mass Email, Email Alerts, Attach Files","Send Single or Mass Email,or Drip Email with File Attachments to any Object",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000003IzEDEA0,114,130,16,1.1
Five9 Intelligent Cloud Contact Center,Empower Your Agents to Deliver Amazing Customer Experiences,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000001gGgIEAU,137,156,19,1.1
Service & Support Dashboards,Dashboard pack for Service & Support case tracking,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N300000016Z6kEAE,14,15,1,1.1
Barcode and QR Code Generator,Solution for all Barcode Generation/Scanning use cases,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FvIsgUAF,13,14,1,1.1
Enterprise Quality Management Suite by ComplianceQuest (EQMS),A fully integrated EQMS platform that automates all quality processes,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B5PNxEAN,94,101,7,1.1
"DayBack Calendar - Resource Scheduling, Project Management, Field Service","Schedule Balancing, Calendar Sharing, and Online Booking",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000000qp64EAA,35,37,2,1.1
Cloud Coach Enterprise - PSA & Project Management for Salesforce,Professional Services Automation Built 100% Native on Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000004fulREAQ,51,56,5,1.1
Bullhorn for Salesforce - Applicant Tracking Software for Staffing firms,Accelerate your path onto the Salesforce platform,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000009k20iEAA,36,40,4,1.1
State KnowWho for Salesforce,Comprehensive State Legislator and State Executive Directory for Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000008ZlLQEA0,8,9,1,1.1
Streaming Monitor,"Monitor streaming events (PushTopic, Generic, Platform Events, CDC...)",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FYEEWUA5,23,25,2,1.1
QuickBooks Desktop and Online Integration with Salesforce by InterWeave,The SmartIntegration Platform for Financial Application Integration,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N300000016bNkEAI,44,47,3,1.1
GUMU™ SAGE ERP Integration for Salesforce,Secure. Flexible. Fast-paced. SF Native Integration for New-Age Enterprises,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000000psM5EAI,56,59,3,1.1
Apex Skipper,Update record with instant trigger off,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HVjJTUA1,9,10,1,1.1
